car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture
Hyundai Xcent S 1.2,₹ 3.95 Lakh,"62,568",Petrol,Noida,2014
Kia Seltos HTK 1.5 [2020-2021],₹ 11.43 Lakh,"19,970",Petrol,Pune,2019
BMW 5 Series 520d Luxury Line,₹ 23 Lakh,"73,900",Diesel,Ahmedabad,2015
Kia Seltos HTE 1.5,₹ 10.5 Lakh,"37,991",Petrol,Thane,2020
Hyundai Creta 1.6 SX Plus AT Petrol,₹ 12.75 Lakh,"58,676",Petrol,Mumbai,2018
Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],₹ 5.99 Lakh,"35,104",Petrol,Bangalore,2017
Kia Seltos GTX 1.4 Dual Tone,₹ 16.2 Lakh,"51,605",Petrol,Pune,2019
Maruti Suzuki S-Presso VXi,₹ 4.2 Lakh,"17,472",Petrol,Delhi,2020
Hyundai Elite i20 Sportz 1.4,₹ 4.75 Lakh,"80,000",Diesel,Delhi,2015
Mercedes-Benz GLC 200 Progressive,₹ 66 Lakh,"16,785",Petrol,Bangalore,2021
Mercedes-Benz E-Class E 200,₹ 68.99 Lakh,"3,999",Petrol,Bangalore,2020
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.41 Lakh,"66,882",CNG,Pune,2017
Audi A4 35 TDI Technology,₹ 29.5 Lakh,"71,235",Diesel,Ahmedabad,2018
Chevrolet Cruze LTZ AT,₹ 5.9 Lakh,"56,000",Diesel,Ahmedabad,2013
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.14 Lakh,"74,938",Petrol,Delhi,2016
Honda City 1.5 S MT,₹ 2.85 Lakh,"82,000",Petrol,Noida,2009
Maruti Suzuki Wagon R LXi 1.0 CNG,₹ 6.75 Lakh,"57,685",CNG,Pune,2021
Hyundai Elite i20 Sportz 1.2,₹ 7.1 Lakh,"48,000",Petrol,Hyderabad,2018
Mercedes-Benz C-Class 220 BlueEfficiency,₹ 13.95 Lakh,"1,20,000 ",Diesel,Hyderabad,2013
Hyundai Eon Magna [2011-2012],₹ 3.2 Lakh,"33,146",Petrol,Ahmedabad,2015
Maruti Suzuki Baleno Delta 1.2,₹ 6.29 Lakh,"26,603",Petrol,Delhi,2019
Volkswagen Vento Comfortline 1.2 (P) AT,₹ 6.51 Lakh,"53,094",Petrol,Mumbai,2016
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.75 Lakh,"4,098",Petrol,Mumbai,2017
Maruti Suzuki Wagon R 1.0 VXi,₹ 2.89 Lakh,"75,379",Petrol,Pune,2011
Hyundai Venue S 1.0 Petrol [2019-2020],₹ 8.97 Lakh,"15,763",Petrol,Kolkata,2019
Mercedes-Benz C-Class 200 K AT,₹ 8.5 Lakh,"1,19,500 ",Petrol,Ahmedabad,2010
Maruti Suzuki Wagon R 1.0 VXi,₹ 2.76 Lakh,"42,697",Petrol,Kolkata,2013
Hyundai Elite i20 Magna Executive 1.2,₹ 6.9 Lakh,"45,000",Petrol,Ahmedabad,2018
Maruti Suzuki Vitara Brezza ZDi Plus,₹ 10.44 Lakh,"55,174",Diesel,Pune,2019
Honda City VX CVT,₹ 7.35 Lakh,"82,953",Petrol,Chennai,2016
Maruti Suzuki Wagon R 1.0 VXI AMT,₹ 3.9 Lakh,"85,138",Petrol,Pune,2016
Audi Q5 3.0 TDI quattro Premium Plus,₹ 25 Lakh,"57,000",Diesel,Hyderabad,2015
Audi A6 2.0 TDI Premium,₹ 11.25 Lakh,"52,000",Diesel,Kolkata,2013
Hyundai Creta SX Plus 1.6  Petrol,₹ 9.79 Lakh,"27,623",Petrol,Bangalore,2016
Hyundai Xcent SX 1.2 (O),₹ 4.99 Lakh,"73,333",Petrol,Bangalore,2015
MG Hector Sharp 2.0 Diesel [2019-2020],₹ 16.59 Lakh,"45,999",Diesel,Bangalore,2019
Maruti Suzuki Baleno Sigma 1.2,₹ 5.45 Lakh,"61,518",Petrol,Noida,2017
Maruti Suzuki S-Presso VXi Plus,₹ 4.76 Lakh,65,Petrol,Delhi,2021
Maruti Suzuki Baleno Zeta 1.3,₹ 7.39 Lakh,"42,400",Diesel,Bangalore,2017
Jeep Compass Limited 1.4 Petrol AT [2017-2020],₹ 13.95 Lakh,"45,221",Petrol,Mumbai,2017
Maruti Suzuki Ignis Zeta 1.2 MT,₹ 6.28 Lakh,"11,290",Petrol,Pune,2020
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,₹ 4.09 Lakh,"68,446",Petrol,Delhi,2016
Honda City V,₹ 5.9 Lakh,"51,850",Petrol,Mumbai,2015
Toyota Glanza G CVT,₹ 7.95 Lakh,"10,000",Petrol,Mumbai,2020
Audi Q3 2.0 TDI quattro Premium,₹ 11.9 Lakh,"69,500",Diesel,Ahmedabad,2012
Maruti Suzuki Swift DZire ZXI,₹ 4.45 Lakh,"44,681",Petrol,Hyderabad,2012
Renault Kwid RXT [2015-2019],₹ 2.99 Lakh,"65,428",Petrol,Pune,2016
Hyundai Verna Fluidic 1.6 VTVT SX,₹ 3.91 Lakh,"84,344",Petrol,Delhi,2013
Maruti Suzuki Vitara Brezza ZDi Plus AGS,₹ 8.9 Lakh,"1,13,600 ",Diesel,Thane,2018
Maruti Suzuki Wagon R LXi 1.0 CNG,₹ 5.99 Lakh,"17,778",CNG,Delhi,2020
Maruti Suzuki Baleno Delta 1.2,₹ 5.8 Lakh,"33,269",Petrol,Kolkata,2018
MG Hector Sharp 1.5 DCT Petrol [2019-2020],₹ 19.25 Lakh,"15,222",Petrol,Bangalore,2021
Honda City V Diesel,₹ 9.25 Lakh,"87,139",Diesel,Hyderabad,2017
Maruti Suzuki Swift VXi ABS,₹ 3.4 Lakh,"69,551",Petrol,Delhi,2013
Hyundai Verna Fluidic 1.6 CRDi SX,₹ 4.85 Lakh,"72,500",Diesel,Thane,2013
Maruti Suzuki Swift ZXi,₹ 6.33 Lakh,"28,899",Petrol,Delhi,2018
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.96 Lakh,"13,595",Petrol,Kolkata,2017
Ford Endeavour Titanium 3.2 4x4 AT,₹ 24.75 Lakh,"83,000",Diesel,Mumbai,2016
Hyundai Elite i20 Magna Executive 1.2,₹ 7.75 Lakh,"19,418",Petrol,Bangalore,2019
Volvo V40 D3 Kinetic,₹ 12 Lakh,"50,965",Diesel,Kolkata,2015
Ford EcoSport Ambiente 1.5L TDCi,₹ 4.91 Lakh,"74,000",Diesel,Thane,2014
Hyundai Xcent SX CRDi,₹ 4.25 Lakh,"21,707",Diesel,Kolkata,2017
Mahindra XUV500 W8,₹ 7.4 Lakh,"83,555",Diesel,Hyderabad,2013
Hyundai Verna 1.6 VTVT SX,₹ 5.85 Lakh,"37,000",Petrol,Mumbai,2015
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],₹ 3.85 Lakh,"43,000",Petrol,Noida,2014
Maruti Suzuki Baleno Zeta 1.2 AT,₹ 6.9 Lakh,"21,769",Petrol,Mumbai,2017
BMW 5 Series 530i Sport Line,₹ 42.5 Lakh,"32,000",Petrol,Mumbai,2018
Maruti Suzuki Ciaz Zeta Hybrid  1.5 [2018-2020],₹ 7.99 Lakh,"14,886",Petrol,Mumbai,2018
MG Hector Plus Sharp 1.5 DCT Petrol,₹ 18.9 Lakh,"6,602",Petrol,Ahmedabad,2020
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 3.85 Lakh,"58,000",CNG,Thane,2014
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.07 Lakh,"63,339",CNG,Pune,2014
Maruti Suzuki Ciaz Delta 1.5,₹ 8.3 Lakh,"4,500",Petrol,Faridabad,2020
Renault Triber RXZ EASY-R AMT,₹ 7.6 Lakh,"23,600",Petrol,Chennai,2020
Hyundai Venue S 1.0 Petrol [2019-2020],₹ 9.55 Lakh,"17,844",Petrol,Kolkata,2019
Honda City SV,₹ 8.75 Lakh,"21,000",Petrol,Ahmedabad,2019
Tata Indica LS,₹ 2.5 Lakh,"60,000",Diesel,Thiruvallur,2017
Maruti Suzuki Celerio VXi AMT,₹ 4.5 Lakh,"34,530",Petrol,Thane,2016
Honda CR-V 2.4 AT,₹ 14 Lakh,"1,17,192 ",Petrol,Hyderabad,2014
Honda Jazz VX Diesel,₹ 5.95 Lakh,"54,000",Diesel,Thane,2016
Nissan Terrano XL (P),₹ 6.79 Lakh,"38,999",Petrol,Bangalore,2016
Volkswagen Ameo Highline Plus 1.5L AT (D)16 Alloy,₹ 6.6 Lakh,"58,549",Diesel,Chennai,2017
Hyundai Elite i20 Sportz 1.2 [2016-2017],₹ 6.87 Lakh,"41,055",Petrol,Delhi,2019
Renault Kwid 1.0 RXT [2016-2019],₹ 3.04 Lakh,"53,728",Petrol,Delhi,2018
Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],₹ 5.29 Lakh,"42,141",Petrol,Bangalore,2017
Tata Tiago JTP 1.2 [2018-2019],₹ 4.16 Lakh,"63,130",Petrol,Delhi,2018
Maruti Suzuki Alto K10 VXi [2014-2019],₹ 3.01 Lakh,"53,912",Petrol,Chennai,2016
Tata Nexon XMA Diesel,₹ 9.41 Lakh,"20,678",Diesel,Thane,2019
Tata Safari XTA Plus,₹ 23.75 Lakh,"4,259",Diesel,Bangalore,2022
Honda Jazz E MT [2015-2016],₹ 4.9 Lakh,"48,866",Petrol,Ahmedabad,2016
Renault Kwid RXT [2015-2019],₹ 3.31 Lakh,"32,954",Petrol,Delhi,2018
Maruti Suzuki Wagon R 1.0 VXi,₹ 2.35 Lakh,"37,000",Petrol,Mumbai,2012
Mahindra XUV500 W11 AT,₹ 13.9 Lakh,"85,000",Diesel,Ahmedabad,2018
Audi A3 35 TDI Premium + Sunroof,₹ 24.75 Lakh,"36,627",Diesel,Bangalore,2016
Volkswagen Polo GT TSI,₹ 9.25 Lakh,"62,690",Petrol,Bangalore,2018
Toyota Innova Crysta GX 2.4 7 STR,₹ 21.5 Lakh,"12,039",Diesel,Ahmedabad,2020
Honda City VX CVT Petrol,₹ 12.04 Lakh,"26,230",Petrol,Delhi,2020
Hyundai Santro Sportz AMT,₹ 5.57 Lakh,"19,156",Petrol,Pune,2020
Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,₹ 5.79 Lakh,"18,350",Petrol,Kolkata,2020
Hyundai Elite i20 Magna Executive 1.2,₹ 5.54 Lakh,"44,053",Petrol,Pune,2018
Hyundai i10 1.1L iRDE Magna Special Edition,₹ 3.4 Lakh,"69,000",Petrol,Ahmedabad,2014
Kia Seltos GTX 1.4 Dual Tone,₹ 16.2 Lakh,"51,605",Petrol,Pune,2019
BMW 5 Series 520d Sedan,₹ 43 Lakh,"40,000",Diesel,Ahmedabad,2017
Tata Harrier XZ Plus Dual Tone,₹ 18.95 Lakh,"35,438",Diesel,Thane,2020
BMW 7 Series 750Li Sedan,₹ 10 Lakh,"65,000",Petrol,Ahmedabad,2008
Maruti Suzuki Ciaz Alpha 1.4 AT,₹ 8.85 Lakh,"38,500",Petrol,Ahmedabad,2020
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.84 Lakh,"20,583",CNG,Pune,2018
Skoda Rapid Style 1.5 TDI AT,₹ 7.15 Lakh,"81,325",Diesel,Kolkata,2016
Maruti Suzuki Baleno Zeta 1.2,₹ 5.9 Lakh,"35,000",Petrol,Ahmedabad,2017
Maruti Suzuki Celerio VXi AMT ABS,₹ 4.85 Lakh,"25,000",Petrol,Hyderabad,2015
Honda Jazz V Petrol,₹ 4.62 Lakh,"37,993",Petrol,Delhi,2015
Land Rover Discovery Sport HSE 7-Seater,₹ 34.99 Lakh,"21,693",Diesel,Kolkata,2018
Hyundai Creta SX 1.6 (O) Petrol,₹ 10.25 Lakh,"63,194",Petrol,Thane,2018
Hyundai i10 1.2 L Kappa Magna Special Edition,₹ 1.8 Lakh,"60,000",Petrol,Thane,2009
Honda City VX CVT Petrol [2017-2019],₹ 12 Lakh,"70,000",Petrol ,Ambattur,2018
Tata Hexa XTA 4x2 6 STR,₹ 16 Lakh,"51,000",Diesel ,Ambattur,2018
Hyundai Elite i20 Asta 1.2 (O) CVT [2019-2020],₹ 8.3 Lakh,"22,024",Petrol,Thane,2019
Skoda Octavia 2.0 TDI L&K,₹ 20.95 Lakh,"35,793",Diesel,Hyderabad,2017
Hyundai Tucson GLS 4WD AT Diesel,₹ 19.25 Lakh,"75,400",Diesel,Pune,2017
Maruti Suzuki Swift Dzire LDI,₹ 4.75 Lakh,"84,996",Diesel,Hyderabad,2016
Maruti Suzuki Swift VXi,₹ 4.6 Lakh,"74,767",Petrol,Mumbai,2015
Honda Amaze 1.2 EX i-VTEC,₹ 3.42 Lakh,"63,956",Petrol,Gurgaon,2013
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.5 Lakh,"48,000",CNG,Thane,2017
Renault Duster 85 PS RxL Diesel,₹ 6.85 Lakh,"48,330",Diesel,Bangalore,2014
Maruti Suzuki Alto 800 Vxi,₹ 2.1 Lakh,"93,150",Petrol,Kolkata,2014
BMW X3 xDrive 30d M Sport [2015-2017],₹ 41 Lakh,"69,499",Diesel,Hyderabad,2016
Mahindra TUV300 T8 AMT mHAWK100,₹ 5.45 Lakh,"75,000",Diesel,Noida,2016
Kia Carnival Prestige 7 STR,₹ 34.99 Lakh,"13,748",Diesel,Bangalore,2021
Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],₹ 10.75 Lakh,"30,672",Petrol,Bangalore,2019
Jeep Compass Limited Plus Diesel [2018-2020],₹ 17.99 Lakh,"64,683",Diesel,Bangalore,2019
Maruti Suzuki Baleno Alpha 1.2,₹ 7.11 Lakh,"69,886",Petrol,Mumbai,2019
Audi Q5 2.0 TDI quattro Premium,₹ 21.5 Lakh,"34,000",Diesel,Kolkata,2014
Hyundai Creta SX 1.6 Petrol,₹ 11.49 Lakh,"62,137",Petrol,Bangalore,2019
Maruti Suzuki Baleno Alpha 1.2,₹ 5.24 Lakh,"56,800",Petrol,Delhi,2016
Hyundai Xcent S 1.2,₹ 4.75 Lakh,"42,382",Petrol,Thane,2015
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.9 Lakh,"66,794",Petrol,Kolkata,2018
Honda City V CVT Petrol [2017-2019],₹ 11.5 Lakh,"19,600",Petrol,Ahmedabad,2020
Mercedes-Benz S-Class 350 CDI L,₹ 19 Lakh,"85,489",Diesel,Hyderabad,2011
Renault Triber RXZ EASY-R AMT,₹ 7.5 Lakh,"19,784",Petrol,Mumbai,2020
Honda City ZX CVT Petrol,₹ 12.85 Lakh,"19,238",Petrol,Mumbai,2020
Maruti Suzuki Swift VXi,₹ 4.2 Lakh,"78,518",Petrol,Hyderabad,2013
Hyundai Creta E Plus 1.6 Petrol,₹ 8.55 Lakh,"54,104",Petrol,Mumbai,2017
Renault Duster 85 PS RXS 4X2 MT Diesel,₹ 8.99 Lakh,"55,300",Diesel,Bangalore,2018
Renault Kwid 1.0 RXT Opt [2016-2019],₹ 3.48 Lakh,"40,397",Petrol,Chennai,2018
Mahindra XUV500 W8,₹ 8.11 Lakh,"87,527",Diesel,Mumbai,2015
Toyota Glanza V,₹ 6.75 Lakh,"63,000",Petrol,Ahmedabad,2019
Maruti Suzuki Swift VDi ABS [2014-2017],₹ 5.67 Lakh,"83,647",Diesel,Pune,2016
Isuzu MU-X 4x2,₹ 21 Lakh,"75,592",Diesel,Hyderabad,2018
Renault Duster 85 PS RxL Diesel (Opt),₹ 4.75 Lakh,"57,660",Diesel,Mumbai,2012
Honda Amaze 1.2 VX MT Petrol [2018-2020],₹ 6.85 Lakh,"42,277",Petrol,Noida,2018
Maruti Suzuki S-Presso VXi Plus,₹ 5.25 Lakh,"2,600",Petrol,Ahmedabad,2022
Volvo XC90 D5 AWD,₹ 22.57 Lakh,"51,000",Diesel,Ahmedabad,2014
Hyundai Grand i10 Asta 1.2 Kappa VTVT,₹ 5.75 Lakh,"19,630",Petrol,Mumbai,2017
Honda City VX,₹ 7.45 Lakh,"42,218",Petrol,Mumbai,2016
Toyota Glanza G,₹ 7.08 Lakh,"69,553",Petrol,Chennai,2019
Maruti Suzuki Alto K10 VXi AMT [2014-2018],₹ 3.38 Lakh,"48,448",Petrol,Delhi,2017
Tata Tiago Revotron XT [2016-2019],₹ 4.84 Lakh,"60,167",Petrol,Delhi,2019
Honda City 1.5 V MT,₹ 3.95 Lakh,"61,000",Petrol,Noida,2012
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,₹ 4.34 Lakh,"26,282",Petrol,Pune,2015
Mercedes-Benz E-Class E 220 d Avantgarde,₹ 61.75 Lakh,"19,070",Diesel,Bangalore,2019
Audi A4 3.0 TDI quattro Technology Pack,₹ 32 Lakh,"67,262",Diesel,Chennai,2018
Maruti Suzuki Ciaz Alpha Hybrid 1.5 [2018-2020],₹ 8.72 Lakh,"5,814",Petrol,Kolkata,2020
Skoda Rapid Ultima Elegance 1.6 TDI CR MT,₹ 6.5 Lakh,"76,810",Diesel,Kolkata,2017
Honda Amaze 1.5 VX i-DTEC,₹ 4.95 Lakh,"63,587",Diesel,Mumbai,2015
Kia Seltos GTX Plus AT 1.4 [2019-2020],₹ 15.25 Lakh,"28,000",Petrol,Kolkata,2019
Honda Amaze 1.5 S i-DTEC,₹ 4.99 Lakh,"42,637",Diesel,Bangalore,2014
Maruti Suzuki Wagon R 1.0 VXI,₹ 4.32 Lakh,"52,775",Petrol,Pune,2017
Maruti Suzuki Ciaz Zeta Hybrid 1.5 AT [2018-2020],₹ 8.5 Lakh,"21,809",Petrol,Thane,2019
Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,₹ 7.25 Lakh,"45,689",Petrol,Mumbai,2016
Maruti Suzuki Celerio ZXi [2017-2019],₹ 4.33 Lakh,"34,251",Petrol,Pune,2017
Maruti Suzuki Ertiga VXI CNG,₹ 7.2 Lakh,"55,000",CNG,Thane,2016
Skoda Rapid Ambition 1.6 TDI CR MT,₹ 9.25 Lakh,"95,004",Diesel,Hyderabad,2018
Tata Harrier XZ [2019-2020],₹ 16.95 Lakh,"20,856",Diesel,Bangalore,2019
Maruti Suzuki Dzire ZXi Plus AMT,₹ 8.75 Lakh,"11,800",Petrol,Chennai,2020
Maruti Suzuki Baleno Delta 1.2,₹ 5.1 Lakh,"32,897",Petrol,Pune,2016
Mahindra TUV300 T8,₹ 5.65 Lakh,"47,107",Diesel,Delhi,2016
Maruti Suzuki Alto K10 VXi,₹ 2.25 Lakh,"76,614",Petrol,Pune,2011
Audi Q3 35 TDI quattro Premium Plus,₹ 19.99 Lakh,"32,345",Diesel,Kolkata,2018
Jaguar XE Portfolio Diesel,₹ 37.75 Lakh,"35,491",Diesel,Bangalore,2018
Toyota Innova Crysta ZX 2.4 AT 7 STR,₹ 32.5 Lakh,"22,562",Diesel,Hyderabad,2021
Maruti Suzuki Ciaz Delta 1.3 Diesel,₹ 7.45 Lakh,"49,908",Diesel,Mumbai,2018
MINI Cooper JCW Hatchback,₹ 44 Lakh,"2,482",Petrol,Mumbai,2021
Jeep Compass Limited Plus 2.0 Diesel 4x4 AT,₹ 23 Lakh,"9,000",Diesel,Ambattur,2020
Volkswagen Polo Comfortline 1.2L (P),₹ 4.65 Lakh,"27,700",Petrol,Thane,2015
Maruti Suzuki Wagon R LXi Minor,₹ 1.8 Lakh,"49,000",Petrol,Thane,2009
Maruti Suzuki Ignis Delta 1.2 MT,₹ 4.53 Lakh,"12,104",Petrol,Kolkata,2018
Hyundai Xcent SX 1.2,₹ 5.34 Lakh,"28,646",Petrol,Pune,2016
Maruti Suzuki Alto 800 Lxi,₹ 2.05 Lakh,"35,965",Petrol,Kolkata,2014
Mercedes-Benz E-Class E350 CDI BlueEfficiency,₹ 15.5 Lakh,"64,000",Diesel,Hyderabad,2010
Maruti Suzuki Baleno Zeta 1.2,₹ 7.35 Lakh,"5,288",Petrol,Thane,2020
Volvo S60 Kinetic D4,₹ 17.9 Lakh,"90,604",Diesel,Hyderabad,2017
Maruti Suzuki Estilo VXi ABS BS-IV,₹ 2.25 Lakh,"68,000",Petrol ,Thiruvallur,2011
Hyundai i20 Asta (O) 1.2 MT,₹ 8.5 Lakh,"32,243",Petrol,Hyderabad,2020
Maruti Suzuki Ciaz Delta 1.4 MT,₹ 6.87 Lakh,"33,823",Petrol,Delhi,2017
Maruti Suzuki Swift VXi AMT [2018-2019],₹ 5.38 Lakh,"25,412",Petrol,Kolkata,2018
BMW 3 Series Gran Limousine 320Ld Luxury Line,₹ 57.5 Lakh,"22,600",Diesel,Chennai,2021
Honda City V CVT Petrol [2017-2019],₹ 8.3 Lakh,"56,468",Petrol,Ahmedabad,2017
Ford Figo Duratec Petrol EXI 1.2,₹ 2.4 Lakh,"73,000",Petrol ,Poonamallee,2011
Honda City SV,₹ 6.3 Lakh,"24,751",Petrol,Kolkata,2018
Audi TT 45 TFSI,₹ 46 Lakh,"9,865",Petrol,Ahmedabad,2016
Maruti Suzuki Celerio ZXi AMT [2019-2020],₹ 4.75 Lakh,"29,646",Petrol,Thane,2016
BMW X1 sDrive20d Expedition,₹ 21.75 Lakh,"55,000",Diesel,Mumbai,2017
Volvo S90 D4 Inscription,₹ 59 Lakh,"15,446",Diesel,Hyderabad,2020
Maruti Suzuki Celerio VXi AMT ABS,₹ 4.45 Lakh,"24,595",Petrol,Mumbai,2016
Hyundai Creta 1.6 S Plus AT,₹ 9.98 Lakh,"97,761",Diesel,Pune,2016
Maruti Suzuki Celerio VXi,₹ 5.65 Lakh,"47,000",Petrol,Hyderabad,2020
Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],₹ 4.85 Lakh,"66,471",Petrol,Delhi,2017
Datsun redi-GO S [2016-2019],₹ 3.25 Lakh,"37,000",Petrol,Ahmedabad,2019
